attack_id,samples_spoof,AUC,EER
A02,3716,0.81298815170682,0.2445616815907451
A03,3716,0.6903329591752243,0.31346774861306614
A01,3716,0.6692969686011359,0.324501117827275
A04,3716,0.5269717019870794,0.4414462978202791
A05,3716,0.5037992819881948,0.4706443602530024
A06,3716,0.49236679436202735,0.5148796497981489
